                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.35579,                0.54896,                0.82734,                0.89167,                0.96994,                0.96404,                0.89467,                0.32645,                0.50182,                0.84827,               0.000198,               0.000198,               0.000198
                     79,                0.35534,                0.54086,                0.82517,                0.89031,                0.96991,                0.96147,                 0.8953,                0.32082,                0.50422,                0.84659,             0.00018976,             0.00018976,             0.00018976
                     80,                0.34585,                0.52578,                0.81945,                0.88804,                0.96978,                0.96113,                0.88928,                0.31713,                0.50133,                0.84471,             0.00018151,             0.00018151,             0.00018151
                     81,                0.34957,                0.53074,                0.82891,                0.88682,                0.96967,                0.96228,                0.89139,                0.31794,                0.49643,                0.84614,             0.00017326,             0.00017326,             0.00017326
                     82,                0.35509,                0.53314,                0.83834,                0.88681,                0.96973,                 0.9682,                0.89573,                  0.317,                0.48934,                0.84548,             0.00016502,             0.00016502,             0.00016502
                     83,                0.34697,                0.54774,                0.82547,                0.88662,                0.96976,                0.97132,                0.89609,                0.31596,                0.48222,                0.84433,             0.00015677,             0.00015677,             0.00015677
                     84,                 0.3518,                0.52272,                0.83853,                0.88638,                0.96966,                0.97277,                0.89338,                0.31877,                 0.4775,                0.84453,             0.00014852,             0.00014852,             0.00014852
                     85,                0.33649,                0.50094,                0.82216,                0.88717,                0.97023,                0.97132,                0.89658,                 0.3182,                0.47643,                0.84419,             0.00014028,             0.00014028,             0.00014028
                     86,                0.34073,                 0.5055,                0.83194,                0.88914,                0.97037,                0.97132,                0.89654,                0.31669,                0.47435,                0.84245,             0.00013203,             0.00013203,             0.00013203
                     87,                0.35334,                 0.5457,                0.83289,                0.89148,                 0.9703,                0.97132,                0.89875,                0.31493,                0.47628,                0.84127,             0.00012378,             0.00012378,             0.00012378
                     88,                0.33352,                0.49137,                0.82402,                0.89313,                0.97027,                 0.9701,                0.90576,                0.31401,                0.47758,                0.84037,             0.00011554,             0.00011554,             0.00011554
                     89,                0.34173,                0.52138,                0.83828,                0.89737,                0.97046,                 0.9701,                0.91051,                0.31145,                0.47963,                0.83842,             0.00010729,             0.00010729,             0.00010729
                     90,                0.33841,                0.52022,                0.83348,                0.89425,                0.97052,                0.96908,                0.90503,                0.30849,                0.48294,                0.83792,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.28122,                0.43244,                0.80402,                0.89648,                0.97081,                0.96744,                0.90851,                0.30682,                0.48362,                0.83832,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.27464,                0.45324,                0.79023,                0.89458,                0.97055,                0.96677,                0.90554,                0.31081,                0.49326,                0.84186,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.27362,                0.42383,                0.79044,                0.89332,                0.97022,                0.96618,                0.90289,                0.31082,                0.49998,                0.84198,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.26769,                0.42269,                0.80413,                0.89215,                0.96989,                0.96618,                0.90386,                0.31171,                0.50513,                0.84077,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.27819,                0.43573,                0.81517,                0.89186,                0.96982,                0.96566,                0.90377,                0.31292,                0.50937,                  0.841,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.26211,                 0.4255,                0.79777,                0.89086,                0.96994,                0.96519,                0.90491,                0.31135,                0.51379,                0.84058,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.27468,                 0.4224,                0.80202,                0.88957,                0.97016,                0.96519,                 0.9051,                0.30998,                0.51609,                0.84156,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.26012,                0.42211,                0.80528,                0.88842,                0.97054,                0.96519,                0.90399,                0.30908,                0.51491,                0.84168,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.26657,                0.41763,                0.79272,                 0.8884,                0.97071,                0.96618,                0.90419,                0.30867,                 0.5119,                 0.8409,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.27269,                0.42724,                0.79753,                0.88858,                0.97108,                0.96677,                0.90432,                0.30861,                0.50779,                0.83921,             1.6577e-05,             1.6577e-05,             1.6577e-05
